Time,Channel A
(s),(mV)

9.83700047,-174.38890000
9.83800047,-170.80600000
9.83900047,-170.80600000
9.84000047,-167.22310000
9.84100047,-170.80600000
9.84200047,-170.80600000
9.84300047,-174.38890000
9.84400047,-172.60050000
9.84500047,-170.80600000
9.84600047,-172.60050000
9.84700047,-172.60050000
9.84800047,-169.01150000
9.84900047,-170.80600000
9.85000047,-170.80600000
9.85100047,-170.80600000
9.85200047,-170.80600000
9.85300047,-170.80600000
9.85400047,-172.60050000
9.85500047,-170.80600000
9.85600047,-169.01150000
9.85700047,-170.80600000
9.85800047,-172.60050000
9.85900047,-172.60050000
9.86000047,-170.80600000
9.86100047,-169.01150000
9.86200047,-172.60050000
9.86300047,-172.60050000
9.86400047,-172.60050000
9.86500047,-170.80600000
9.86600047,-170.80600000
9.86700047,-172.60050000
9.86800047,-174.38890000
9.86900047,-170.80600000
9.87000047,-170.80600000
9.87100047,-172.60050000
9.87200047,-172.60050000
9.87300047,-167.22310000
9.87400047,-169.01150000
9.87500047,-169.01150000
9.87600047,-170.80600000
9.87700047,-174.38890000
9.87800047,-172.60050000
9.87900047,-170.80600000
9.88000047,-170.80600000
9.88100047,-172.60050000
9.88200047,-172.60050000
9.88300047,-170.80600000
9.88400047,-172.60050000
9.88500047,-170.80600000
9.88600047,-170.80600000
9.88700047,-170.80600000
9.88800047,-170.80600000
9.88900047,-174.38890000
9.89000047,-172.60050000
9.89100047,-172.60050000
9.89200047,-169.01150000
9.89300047,-170.80600000
9.89400047,-170.80600000
9.89500047,-170.80600000
9.89600047,-169.01150000
9.89700047,-170.80600000
9.89800047,-170.80600000
9.89900047,-170.80600000
9.90000047,-172.60050000
9.90100047,-170.80600000
9.90200047,-170.80600000
9.90300047,-172.60050000
9.90400047,-172.60050000
9.90500047,-169.01150000
9.90600047,-172.60050000
9.90700047,-172.60050000
9.90800047,-172.60050000
9.90900047,-169.01150000
9.91000047,-169.01150000
9.91100047,-170.80600000
9.91200047,-172.60050000
9.91300047,-169.01150000
9.91400047,-172.60050000
9.91500047,-174.38890000
9.91600047,-172.60050000
9.91700047,-170.80600000
9.91800047,-169.01150000
9.91900047,-172.60050000
9.92000047,-170.80600000
9.92100047,-174.38890000
9.92200047,-169.01150000
9.92300047,-169.01150000
9.92400047,-170.80600000
9.92500047,-174.38890000
9.92600047,-170.80600000
9.92700047,-170.80600000
9.92800047,-170.80600000
9.92900047,-172.60050000
9.93000047,-170.80600000
9.93100047,-172.60050000
9.93200047,-169.01150000
9.93300047,-170.80600000
9.93400047,-172.60050000
9.93500047,-170.80600000
9.93600047,-170.80600000
9.93700047,-169.01150000
9.93800047,-169.01150000
9.93900047,-174.38890000
9.94000047,-169.01150000
9.94100047,-170.80600000
9.94200047,-169.01150000
9.94300047,-172.60050000
9.94400047,-169.01150000
9.94500047,-172.60050000
9.94600047,-170.80600000
9.94700047,-172.60050000
9.94800047,-174.38890000
9.94900047,-170.80600000
9.95000047,-170.80600000
9.95100047,-170.80600000
9.95200047,-174.38890000
9.95300047,-172.60050000
9.95400047,-174.38890000
9.95500047,-172.60050000
9.95600047,-170.80600000
9.95700047,-170.80600000
9.95800047,-172.60050000
9.95900047,-174.38890000
9.96000047,-172.60050000
9.96100047,-169.01150000
9.96200047,-174.38890000
9.96300047,-170.80600000
9.96400047,-170.80600000
9.96500047,-169.01150000
9.96600047,-169.01150000
9.96700047,-172.60050000
9.96800047,-172.60050000
9.96900047,-169.01150000
9.97000047,-170.80600000
9.97100047,-170.80600000
9.97200047,-170.80600000
9.97300047,-170.80600000
9.97400047,-170.80600000
9.97500047,-172.60050000
9.97600047,-172.60050000
9.97700047,-172.60050000
9.97800047,-170.80600000
9.97900047,-170.80600000
9.98000047,-174.38890000
9.98100047,-170.80600000
9.98200047,-170.80600000
9.98300047,-172.60050000
9.98400047,-172.60050000
9.98500047,-169.01150000
9.98600047,-169.01150000
9.98700047,-172.60050000
9.98800047,-172.60050000
9.98900047,-174.38890000
9.99000047,-172.60050000
9.99100047,-169.01150000
9.99200047,-170.80600000
9.99300047,-172.60050000
9.99400047,-170.80600000
9.99500047,-170.80600000
9.99600047,-170.80600000
9.99700047,-174.38890000
9.99800047,-172.60050000
9.99900047,-170.80600000
10.00000047,-170.80600000
10.00100048,-176.18330000
10.00200048,-174.38890000
10.00300048,-170.80600000
10.00400048,-172.60050000
10.00500048,-169.01150000
10.00600048,-172.60050000
10.00700048,-170.80600000
10.00800048,-170.80600000
10.00900048,-170.80600000
10.01000048,-170.80600000
10.01100048,-170.80600000
10.01200048,-169.01150000
10.01300048,-169.01150000
10.01400048,-169.01150000
10.01500048,-172.60050000
10.01600048,-170.80600000
10.01700048,-170.80600000
10.01800048,-169.01150000
10.01900048,-172.60050000
10.02000048,-170.80600000
10.02100048,-174.38890000
10.02200048,-170.80600000
10.02300048,-172.60050000
10.02400048,-170.80600000
10.02500048,-170.80600000
10.02600048,-170.80600000
10.02700048,-172.60050000
10.02800048,-170.80600000
10.02900048,-170.80600000
10.03000048,-172.60050000
10.03100048,-174.38890000
10.03200048,-172.60050000
10.03300048,-170.80600000
10.03400048,-170.80600000
10.03500048,-169.01150000
10.03600048,-174.38890000
10.03700048,-172.60050000
10.03800048,-172.60050000
10.03900048,-170.80600000
10.04000048,-174.38890000
10.04100048,-172.60050000
10.04200048,-169.01150000
10.04300048,-169.01150000
10.04400048,-170.80600000
10.04500048,-170.80600000
10.04600048,-170.80600000
10.04700048,-170.80600000
10.04800048,-170.80600000
10.04900048,-174.38890000
10.05000048,-170.80600000
10.05100048,-167.22310000
10.05200048,-172.60050000
10.05300048,-170.80600000
10.05400048,-170.80600000
10.05500048,-174.38890000
10.05600048,-169.01150000
10.05700048,-172.60050000
10.05800048,-170.80600000
10.05900048,-170.80600000
10.06000048,-169.01150000
10.06100048,-170.80600000
10.06200048,-176.18330000
10.06300048,-172.60050000
10.06400048,-170.80600000
10.06500048,-170.80600000
10.06600048,-169.01150000
10.06700048,-172.60050000
10.06800048,-170.80600000
10.06900048,-170.80600000
10.07000048,-172.60050000
10.07100048,-170.80600000
10.07200048,-170.80600000
10.07300048,-169.01150000
10.07400048,-169.01150000
10.07500048,-174.38890000
10.07600048,-169.01150000
10.07700048,-172.60050000
10.07800048,-169.01150000
10.07900048,-172.60050000
10.08000048,-174.38890000
10.08100048,-169.01150000
10.08200048,-169.01150000
10.08300048,-170.80600000
10.08400048,-169.01150000
10.08500048,-174.38890000
10.08600048,-170.80600000
10.08700048,-169.01150000
10.08800048,-170.80600000
10.08900048,-169.01150000
10.09000048,-172.60050000
10.09100048,-170.80600000
10.09200048,-170.80600000
10.09300048,-170.80600000
10.09400048,-170.80600000
10.09500048,-170.80600000
10.09600048,-174.38890000
10.09700048,-169.01150000
10.09800048,-170.80600000
10.09900048,-172.60050000
10.10000048,-172.60050000
10.10100048,-169.01150000
10.10200048,-170.80600000
10.10300048,-170.80600000
10.10400048,-176.18330000
10.10500048,-174.38890000
10.10600048,-170.80600000
10.10700048,-170.80600000
10.10800048,-172.60050000
10.10900048,-170.80600000
10.11000048,-170.80600000
10.11100048,-170.80600000
10.11200048,-170.80600000
10.11300048,-174.38890000
10.11400048,-170.80600000
10.11500048,-169.01150000
10.11600048,-169.01150000
10.11700048,-176.18330000
10.11800048,-174.38890000
10.11900048,-170.80600000
10.12000048,-169.01150000
10.12100048,-170.80600000
10.12200048,-170.80600000
10.12300048,-170.80600000
10.12400048,-169.01150000
10.12500048,-172.60050000
10.12600048,-170.80600000
10.12700048,-170.80600000
10.12800048,-172.60050000
10.12900048,-170.80600000
10.13000048,-172.60050000
10.13100048,-170.80600000
10.13200048,-172.60050000
10.13300048,-170.80600000
10.13400048,-169.01150000
10.13500048,-169.01150000
10.13600048,-170.80600000
10.13700048,-174.38890000
10.13800048,-169.01150000
10.13900048,-172.60050000
10.14000048,-172.60050000
