Time,V_T
41.04100195,0.00152593
41.04200195,-0.9048738
41.04300195,0.4531998
41.04400195,0.4531998
41.04500195,0.4531998
41.04600195,0.9048738
41.04700195,0.4531998
41.04800195,0.4531998
41.04900195,0.4531998
41.05000195,-0.4516739
41.05100195,0.9048738
41.05200195,0.00152593
41.05300195,0.00152593
41.05400195,0.4531998
41.05500195,-1.358074
41.05600195,-0.4516739
41.05700195,0.00152593
41.05800195,0.00152593
41.05900195,-0.4516739
41.06000195,0.9048738
41.06100195,0.9048738
41.06200195,-0.4516739
41.06300195,0.4531998
41.06400195,-0.4516739
41.06500195,0.4531998
41.06600195,1.811274
41.06700195,0.9048738
41.06800195,0.00152593
41.06900195,-0.4516739
41.07000195,0.4531998
41.07100195,0.4531998
41.07200195,0.4531998
41.07300195,-0.9048738
41.07400195,0.00152593
41.07500195,0.9048738
41.07600195,0.4531998
41.07700195,0.9048738
41.07800195,1.811274
41.07900195,-0.4516739
41.08000195,0.00152593
41.08100195,0.9048738
41.08200195,-0.9048738
41.08300195,0.00152593
41.08400195,-0.4516739
41.08500195,0.9048738
41.08600195,0.9048738
41.08700195,0.00152593
41.08800195,-0.9048738
41.08900195,0.9048738
41.09000195,0.4531998
41.09100195,0.4531998
41.09200195,0.4531998
41.09300195,0.9048738
41.09400195,0.4531998
41.09500195,-0.4516739
41.09600195,0.00152593
41.09700195,0.9048738
41.09800195,-0.4516739
41.09900195,0.9048738
41.10000195,0.4531998
41.10100195,0.00152593
41.10200195,0.4531998
41.10300195,0.4531998
41.10400195,-0.4516739
41.10500195,0.9048738
41.10600195,-0.4516739
41.10700195,0.00152593
41.10800195,0.00152593
41.10900195,0.9048738
41.11000195,0.00152593
41.11100195,-0.9048738
41.11200195,0.9048738
41.11300195,0.00152593
41.11400195,0.00152593
41.11500195,0.9048738
41.11600195,0.9048738
41.11700195,-0.4516739
41.11800195,0.4531998
41.11900195,2.264473
41.12000195,0.00152593
41.12100195,0.9048738
41.12200195,0.9048738
41.12300195,0.4531998
41.12400195,-0.9048738
41.12500195,1.358074
41.12600195,0.00152593
41.12700195,0.00152593
41.12800195,0.9048738
41.12900195,0.00152593
41.13000195,0.00152593
41.13100195,0.00152593
41.13200195,-0.4516739
41.13300195,0.9048738
41.13400195,0.00152593
41.13500195,-0.4516739
41.13600195,0.9048738
41.13700195,1.358074
41.13800195,0.4531998
41.13900195,0.4531998
41.14000195,0.9048738
41.14100195,0.4531998
41.14200195,-0.9048738
41.14300195,0.00152593
41.14400195,0.4531998
41.14500195,0.4531998
41.14600195,-0.4516739
41.14700195,0.00152593
41.14800195,0.4531998
41.14900195,0.4531998
41.15000195,0.00152593
41.15100195,0.4531998
41.15200195,-0.9048738
41.15300195,0.00152593
41.15400195,1.358074
41.15500195,-0.9048738
41.15600195,-0.4516739
41.15700195,0.9048738
41.15800195,0.9048738
41.15900195,0.00152593
41.16000195,0.4531998
41.16100196,0.9048738
41.16200196,0.00152593
41.16300196,0.00152593
41.16400196,0.9048738
41.16500196,0.4531998
41.16600196,0.9048738
41.16700196,0.9048738
41.16800196,0.00152593
41.16900196,0.4531998
41.17000196,0.4531998
41.17100196,0.00152593
41.17200196,-0.4516739
41.17300196,0.4531998
41.17400196,0.00152593
41.17500196,0.00152593
41.17600196,0.9048738
41.17700196,-0.4516739
41.17800196,0.4531998
41.17900196,0.00152593
41.18000196,0.4531998
41.18100196,-0.4516739
41.18200196,0.9048738
41.18300196,-0.9048738
41.18400196,-0.4516739
41.18500196,1.358074
41.18600196,-0.9048738
41.18700196,0.00152593
41.18800196,0.4531998
41.18900196,-0.4516739
41.19000196,0.00152593
41.19100196,0.4531998
41.19200196,0.00152593
41.19300196,0.00152593
41.19400196,0.4531998
41.19500196,0.4531998
41.19600196,0.4531998
41.19700196,0.00152593
41.19800196,0.4531998
41.19900196,0.00152593
41.20000196,0.9048738
41.20100196,0.9048738
41.20200196,0.4531998
41.20300196,0.00152593
41.20400196,0.00152593
41.20500196,0.00152593
41.20600196,-0.4516739
41.20700196,0.4531998
41.20800196,0.9048738
41.20900196,0.4531998
41.21000196,0.4531998
41.21100196,-0.4516739
41.21200196,0.4531998
41.21300196,0.9048738
41.21400196,-1.358074
41.21500196,0.4531998
41.21600196,0.00152593
41.21700196,0.4531998
41.21800196,-0.9048738
41.21900196,0.9048738
41.22000196,0.4531998
41.22100196,0.00152593
41.22200196,0.00152593
41.22300196,0.00152593
41.22400196,0.9048738
41.22500196,-0.4516739
41.22600196,0.00152593
41.22700196,-0.4516739
41.22800196,0.00152593
41.22900196,0.00152593
41.23000196,-0.9048738
41.23100196,0.9048738
